Alpha3,Country,5Y CDS,EIU Banking Risk,CPI,Currency 3M Volatility,Currency REER,Equity,External Debt,EIU Political Risk,Trade Balance,Unemployment
CHE,Switzerland,SWISS CDS USD SR 5Y MSG1 Curncy,EIBASWIT Index,EHPICHY Index,USDCHFH3M Curncy,BISBCHN Index,SMI Index,WDTLSWIT Index,EIPRSWIT Index,EHUPCHY Index,
,,,,,,,,,,,
TZA,Tanzania,,EIBATANZ Index,IINATZA Index,,,DARSDSEI Index,WBEDTZA  Index,EIPRTANZ Index,,
,,,,,,,,,,,
THA,Thailand,THAI CDS USD SR 5Y CBGN Curncy,EIBATHAI Index,EHPITHY Index,USDTHBH3M BGN Curncy,BISBTHR  Index,SET Index,WDTLTHAI Index,EIPRTHAI Index,THLMUERT Index,
,,,,,,,,,,,
TUN,Tunisia,BTUN CDS USD SR 5Y MSG1 Curncy,EIBATUNI Index,TNCPIMOM Index,USDTNDH3M Curncy,744.028 Index,TUSISE Index,WDTLTUNI Index,EIPRTUNI Index,IUERTUN Index,
,,,,,,,,,,,
TUR,Turkey,TURKEY CDS USD SR 5Y CBGN Curncy,EIBATURK Index,EHPITRY Index,USDTRYH3M BGN Curncy,BISBTRR  Index,XU100 Index,WDTLTURK Index,EIPRTURK Index,TUUNR Index,
,,,,,,,,,,,
ARE,UAE,DUGB CDS USD SR 5Y CBGN Curncy,EIBAUNIT Index,EHPIAEY Index,USDAEDH3M Curncy,,ADSMI Index,,EIPRUAE  Index,EHUPAEY Index,
,,,,,,,,,,,
GBR,United Kingdom,UKT CDS USD SR 5Y CBGN Curncy,EIBAUKIN Index,EHPIGBY Index,GBPUSDH3M Curncy,BISBGBR Index,UKX Index,WDTLUK   Index,EIPRUKIN Index,IUERGBR Index,
,,,,,,,,,,,
USA,United States,ZCTO CDS EUR SR 5Y CBGN Curncy,EIBAUSA Index,EHPIUSY Index,EURUSDH3M Curncy,BISBUSR Index,SPX Index,WDTLUS   Index,EIPRUSA Index,USURTOT Index,
,,,,,,,,,,,
VEN,Venezuela,VENZ CDS USD SR 5Y CBGN Curncy,EIBAVENE Index,EHPIVEY Index,USDVEFH3M Curncy,BISBVER  Index,IBVC Index,WBEDVEN  Index,EIPRVENE Index,VNUEMTHY Index,
,,,,,,,,,,,
VNM,Vietnam,VIETNM CDS USD SR 5Y MSG1 Curncy,EIBAVIET Index,EHPIVNY Index,USDVNDH3M Curncy,,VNINDEX Index,WBEDVNM  Index,EIPRVIET Index,VEEMRATE Index,
